# Generated from Rime Essay. Do not edit manually.
# context<TAB>completion<TAB>weight...
一場大	雨	113	雪	50
一場戰	爭	336
一場春	夢	475
一場比	賽	1898
一場災	難	235
一場虛	驚	11
一場誤	會	41
一場遊	戲	172	戲一場夢	10
一場遊戲	一場夢	10
一場遊戲一	場夢	10
一場遊戲一場	夢	10
一場電	影	211
一堵	牆	279
一塊	錢	1511	兒	1397	塊	724	肉	574	石頭落地	388	麪	349	一塊	232	紅布	111	玻璃	96	麪包	49
一塊一	塊	232
一塊玻	璃	96
一塊石	頭落地	388
一塊石頭	落地	388
一塊石頭落	地	388
一塊紅	布	111
一塊麪	包	49
一塌	糊塗	2431
一塌糊	塗	2431
一塑	料袋	15
一塑料	袋	15
一塵	不染	594
一塵不	染	594
一增	一減	39
一增一	減	39
一壁	廂	310
一壇	死水	284
一壇死	水	284
一壓	在	218	到	187	下	177
一壘	手	352
一壺	酒	537	水	481	千金	112	茶	73
一壺千	金	112
一夔	已足	197
一夔已	足	197
一夕	之間	488
一夕之	間	488
一多	半	528	對應	187
一多對	應	187
一夜	情	1537	之間	1327	暴富	773	風流	521	無夢	417	致富	414	露水	318	成名	153	爆紅	139	長大	56
一夜之	間	1327
一夜成	名	153
一夜春	宵	13
一夜暴	富	773
一夜無	夢	417
一夜爆	紅	139
一夜白	頭	35
一夜致	富	414
一夜長	大	56
一夜露	水	318
一夜風	流	521
一夜魚	龍舞	10
一夜魚龍	舞	10
一夢	漫言	244
一夢漫	言	244
一夥	人	595	兒	455	頭	166
一大	堆	9079	批	3362	半	1834	片	1421	早	1343	把	1191	截	1161	段	946	塊	807	部分	731
一大一	小	236
一大創	舉	13
一大半	人	35	兒	10
一大家	子	213	子人	73
一大家子	人	73
一大把	年紀	51
一大把年	紀	51
一大早	兒	321
一大會	兒	319
一大筆	錢	603
一大羣	人	269
一大部	分	731
一天	到晚	1221	天	1178	一天	800	後	573	晚上	512	時間	498	鐘	486	一個樣	464	星斗	308	一夜	279
一天一	天	800	個樣	464	夜	279	個	173	次	127	篇	59	片	31	杯	26	粒	23	包	19
一天一個	樣	464	現在	1
一天一個現	在	1
一天假	期	13
一天到	晚	1221
一天又	一天	94
一天又一	天	94
一天早	晨	40
一天星	斗	308
一天時	間	498
一天晚	上	512
一夫	一妻	565	多妻	546	一妻制	530	當關	525	多妻制	483
一夫一	妻	565	妻制	530
一夫一妻	制	530
一夫多	妻	546	妻制	483
一夫多妻	制	483
一夫當	關	525
一夫當關	萬夫莫開	424	萬夫莫敵	244
一夫當關萬	夫莫開	424	夫莫敵	244
一夫當關萬夫	莫開	424	莫敵	244
一夫當關萬夫莫	開	424	敵	244
一失足	成千古恨	504
一失足成	千古恨	504
一失足成千	古恨	504
一失足成千古	恨	504
一套	套	494	衣服	123	又一套	40
一套又	一套	40
一套又一	套	40
一套衣	服	123
一女	一男	393	子	247
一女一	男	393
一奶	同胞	14
一奶同	胞	14
一如	既往	1738	往昔	498	所料	347	往常	127
一如往	昔	498	常	127
一如所	料	347
一如既	往	1738
一妻	制	531	多夫	474	多夫制	400	一妾	13
一妻一	妾	13
一妻多	夫	474	夫制	400
一妻多夫	制	400
一子	一女	463	繼承制	25
一子一	女	463
一子繼	承制	25
一子繼承	制	25
一孔	之見	437	出氣	1
一孔之	見	437
一孔出	氣	1
一字	一句	626	之差	526	不漏	503	不差	500	千金	463	不識	404	長蛇陣	394	不提	391	之師	361	一板	347
一字一	句	626	板	347
一字不	漏	503	差	500	識	404	提	391	落	175
一字之	差	526	師	361
一字千	金	463
一字排	開	143
一字長	蛇陣	394
一字長蛇	陣	394
一季	度	1744
一學	期	1613	到	241	年	204	起	176
一官	半職	500
一官半	職	500
一定	要	68928	是	18530	會	14815	程度	2919	能	2422	有	2168	要把	1706	要在	1465	要用	1375	要看	1227
一定一	定	525
一定不	是	875
一定之	規	444
一定可	以	1052
一定困	難	51
一定幅	度	101
一定幾	率	110
一定數	量	933
一定會	去	95
一定次	數	50
一定沒	問題	94
一定沒問	題	94
一定注	意安全	12
一定注意	安全	12
一定注意安	全	12
一定溫	度	71
一定濃	度	68
一定程	度	2919
一定能	夠	531	行	50	過	40
一定要	把	1706	在	1465	用	1375	看	1227	到	145	努力	145	提	40	幸福	13
一定要努	力	145
一定要幸	福	13
一定選	擇	83
一定長	度	50
一定限	度	58
一定難	度	262
一定高	度	277
一室	一廳	791
一室一	廳	791
一家	人	3160	之言	883	子	752	三口	731	之主	543	大小	509	是	292	老小	235	四口	215	家	192
一家一	戶	31	姓	28
一家三	口	731
一家之	言	883	主	543	見	20
一家五	口	76
一家六	口	28
一家四	口	215
一家團	圓	20	聚	16
一家大	小	509
一家子	人	55
一家老	小	235	少	19
一宿	舍	38
一審	判決	848	法院	170	案件	34	判決書	24	開庭	17
一審判	決	848	決書	24
一審判決	書	24
一審案	件	34
一審法	院	170
一審開	庭	17
一寫	到	355	出	270
一寸	秋波	247	寸	46	照片	30	光陰	10
一寸光	陰一寸金	460	陰	10
一寸光陰	一寸金	460
一寸光陰一	寸金	460
一寸光陰一寸	金	460
一寸照	片	30
一寸秋	波	247
一封	信	1279	封	517	情書	96	公開信	47	家書	29
一封公	開信	47
一封公開	信	47
